% Model:              oval_geometry.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 3 2025, 17:38
% Dimension:          2
% Nodes:              373
% Expressions:        11
% Description:        Dependent variable u
% Length unit:        m
% X,Y,u (1) @ t=0,u (1) @ t=1,u (1) @ t=2,u (1) @ t=3,u (1) @ t=4,u (1) @ t=5,u (1) @ t=6,u (1) @ t=7,u (1) @ t=8,u (1) @ t=9,u (1) @ t=10
-1.4046712329155842,0.9896933653229913,0.046046263461417006,0.376541445555731,0.5400950350423732,0.5846437736379093,0.5236853878615192,0.44607605109769183,0.38659307800658116,0.3506600746864842,0.33333929040343174,0.3272594767470723,0.3276239510175953
-1.484508801739575,1.2608090463624253,0.046034928339191365,0.07198156154408913,0.0851110657038438,0.07658602165300392,0.06151746085674409,0.050616196214235736,0.044154256068921816,0.04100964015460273,0.03991631490506528,0.03998007994958886,0.04052890577806278
-2.8449397038874737,4.265029639305665,0.04602079892882603,0.02684217359286355,0.031111442194053478,0.042119660724132174,0.0546932897290889,0.06499159345407239,0.071199575688287,0.07372564587609126,0.07389742623984201,0.07305624511776819,0.07201300507172867
-2.6561897161593744,4.357144914652155,0.04601073553230121,0.012166724895230525,0.012821020669624213,0.01708275681645598,0.022334193028571318,0.026859778132379507,0.02973478955132747,0.03100659049595038,0.03119644070264714,0.030893942302645822,0.030464145261134102
-1.082983444412623,0.9139119549555442,0.04604829247757427,0.35333170436446154,0.5343091030472003,0.6188598734797873,0.5963385792424108,0.5359808461597643,0.48053816924923504,0.44285795759463603,0.4224525127316439,0.4133956946825392,0.41160595689051166
-1.062429243311662,1.160831472197488,0.046032964915798176,0.07920115740300449,0.10298208112780834,0.10648702990627669,0.09534201484657769,0.08328637696988461,0.07443439657317985,0.06927048038595678,0.06692974838368931,0.06628905943394292,0.06656917844580955
-2.680732960542879,4.056944297546509,0.04602147452905692,0.022301586279319163,0.020195972768947853,0.025193560897584982,0.0323804878200536,0.03902609311318724,0.04356749821462664,0.04581431558026427,0.04637913919299963,0.04610763887167614,0.045553461503230745
-2.3622786970393364,4.212320577570434,0.046009388961716614,0.004768739794505928,0.003624794331103046,0.0043659672161567116,0.005651276711364246,0.006921794410297604,0.00783908144191963,0.008323710427760997,0.00847053144845253,0.0084405676606932,0.00834320998051361
-0.7774884304920637,0.786809921614188,0.04604273849837106,0.28260052169220434,0.4602130153099204,0.5847883382582526,0.6275750611925139,0.6139695880121774,0.5822085693262112,0.5524735856891179,0.5319305322884431,0.5195416413514287,0.5139393531781777
-0.7771276819417491,1.0799465596012703,0.04602927295882809,0.0800781129613136,0.11156300325700662,0.12839139786911105,0.1279947640404876,0.12055358295950327,0.11267273993414186,0.10689671287562465,0.10357698012768168,0.10199823876743198,0.10161080655418821
-0.3065909031360653,0.7886615569651763,0.04602790754549114,0.08371562503542214,0.13171712083926226,0.17985718942249718,0.21650733319142887,0.2355635243039443,0.24100438307441488,0.23910636115803083,0.23467556814777876,0.23018596641252645,0.22689241103640398
-0.48366592774846207,0.6420191778283437,0.04603961452446973,0.1912389027993252,0.3205836578300088,0.4378992983819538,0.5164533353141386,0.5480874018560168,0.5495729767886358,0.5381175644355629,0.5245811211436384,0.5131599159537927,0.5057205374297211
-0.21870220026406054,0.5341385300998228,0.0460320333984755,0.10629052611296379,0.16984091415650285,0.23933464073879887,0.29817837209806897,0.33358872080376395,0.34738782248172556,0.3478343390298148,0.3425003286501476,0.3359918746768697,0.330753294291497
-0.49691908035861443,0.8992639056343462,0.04602911566221288,0.08944510924970468,0.13925181615588375,0.18148864314525592,0.2059137515832832,0.21309807983924708,0.210864076447788,0.2054338249060523,0.2002376322504185,0.19627317322990687,0.19391223552793926
8.993174177378373E-15,0.4999972342997724,0.04602479723604897,0.056181840737218325,0.08283182767399656,0.11714448439778442,0.1497219208287328,0.1723259269794208,0.18338805781055423,0.18611298426153236,0.18446968834848623,0.18140828707007628,0.17857925481644266
-0.08730174057619373,0.7128057480841564,0.04602580581493513,0.06253522651629134,0.09264047057035185,0.1291364836475195,0.16226028717861016,0.18409479234235995,0.19410156788963848,0.19602067866228734,0.19393077299010877,0.19066496161767107,0.18779034267170572
-2.363732538725967,3.8919047039031858,0.04602015124413988,0.012945562184853336,0.008023274053975021,0.008699874687440627,0.010941091870780814,0.013423411261510311,0.015370677884457187,0.016506936652781166,0.016939576527296944,0.016968235214194275,0.01681553773554713
